segment,vehown,income,pTAZID,aTAZID,p_DISTLRG,a_DISTLRG,trip_weight_12,trip_weight_23
0veh_lo,0,lo,2963.0,2978.0,21.0,21.0,0.0,0.0
0veh_lo,0,lo,2968.0,2964.0,21.0,21.0,0.0,234.274176
0veh_lo,0,lo,2968.0,2983.0,21.0,21.0,0.0,78.091392
0veh_lo,0,lo,2969.0,2962.0,21.0,21.0,0.0,68.13013334
0veh_lo,0,lo,2970.0,3012.0,21.0,21.0,759.0622642,0.0
0veh_lo,0,lo,2984.0,3004.0,21.0,21.0,0.0,102.2075426
0veh_lo,0,lo,2987.0,2990.0,21.0,21.0,414.905904,0.0
0veh_lo,0,lo,2999.0,2931.0,21.0,21.0,778.534974,0.0
0veh_lo,0,lo,3009.0,2910.0,21.0,21.0,0.0,49.08571872
0veh_lo,0,lo,3009.0,3031.0,21.0,21.0,0.0,49.08571872
0veh_lo,0,lo,3067.0,3018.0,22.0,21.0,0.0,3.183193333
0veh_lo,0,lo,3067.0,3051.0,22.0,22.0,0.0,19.099159998
0veh_lo,0,lo,3312.0,3445.0,22.0,22.0,0.0,214.3675456
1veh_hi,1,hi,20.0,95.0,1.0,1.0,0.0,247.873392
1veh_hi,1,hi,32.0,30.0,1.0,1.0,0.0,277.39667
1veh_hi,1,hi,40.0,292.0,1.0,4.0,0.0,11.26765833
1veh_hi,1,hi,40.0,451.0,1.0,5.0,0.0,11.26765833
1veh_hi,1,hi,43.0,77.0,1.0,1.0,55.02649308,0.0
1veh_hi,1,hi,54.0,326.0,1.0,4.0,68.64704978,0.0
1veh_hi,1,hi,54.0,334.0,1.0,4.0,68.64704978,0.0
1veh_hi,1,hi,66.0,703.0,1.0,8.0,0.0,70.41815264
1veh_hi,1,hi,91.0,251.0,1.0,4.0,0.0,134.2956936
1veh_hi,1,hi,195.0,631.0,4.0,8.0,176.10022396,0.0
1veh_hi,1,hi,238.0,1035.0,4.0,13.0,0.0,11.72090333
1veh_hi,1,hi,253.0,270.0,4.0,4.0,0.0,903.754456
1veh_hi,1,hi,264.0,231.0,4.0,4.0,0.0,94.2712
1veh_hi,1,hi,264.0,387.0,4.0,5.0,113.554028,0.0
1veh_hi,1,hi,291.0,1105.0,4.0,12.0,0.0,67.99290501
1veh_hi,1,hi,293.0,375.0,4.0,5.0,0.0,305.4949838
1veh_hi,1,hi,312.0,371.0,4.0,5.0,181.67985782,0.0
1veh_hi,1,hi,314.0,309.0,4.0,4.0,481.2435576,0.0
1veh_hi,1,hi,314.0,422.0,4.0,4.0,181.67985782,0.0
1veh_hi,1,hi,316.0,322.0,4.0,4.0,0.0,22.9041504
1veh_hi,1,hi,316.0,786.0,4.0,9.0,0.0,45.8083008
1veh_hi,1,hi,317.0,321.0,4.0,4.0,0.0,514.2408216
1veh_hi,1,hi,328.0,277.0,4.0,4.0,0.0,31.2688275
1veh_hi,1,hi,328.0,701.0,4.0,8.0,0.0,62.537655
1veh_hi,1,hi,329.0,322.0,4.0,4.0,254.9844196,0.0
1veh_hi,1,hi,329.0,331.0,4.0,4.0,254.9844196,0.0
1veh_hi,1,hi,332.0,394.0,4.0,5.0,181.19162956,0.0
1veh_hi,1,hi,333.0,288.0,4.0,4.0,0.0,168.09976
1veh_hi,1,hi,333.0,473.0,4.0,4.0,0.0,33.619952
1veh_hi,1,hi,333.0,550.0,4.0,5.0,0.0,67.239904
1veh_hi,1,hi,333.0,714.0,4.0,8.0,0.0,67.239904
1veh_hi,1,hi,342.0,294.0,5.0,4.0,0.0,215.2143984
1veh_hi,1,hi,344.0,368.0,5.0,5.0,205.8691134,0.0
1veh_hi,1,hi,346.0,231.0,5.0,4.0,0.0,282.362724
1veh_hi,1,hi,347.0,396.0,5.0,5.0,0.0,131.18483468
1veh_hi,1,hi,347.0,634.0,5.0,8.0,0.0,30.61657467
1veh_hi,1,hi,356.0,630.0,5.0,8.0,0.0,115.69278
1veh_hi,1,hi,360.0,231.0,5.0,4.0,0.0,73.48928268
1veh_hi,1,hi,374.0,422.0,5.0,4.0,1299.1990635,0.0
1veh_hi,1,hi,375.0,326.0,5.0,4.0,0.0,85.147664
1veh_hi,1,hi,377.0,294.0,5.0,4.0,0.0,252.8231596
1veh_hi,1,hi,377.0,342.0,5.0,5.0,0.0,125.15998
1veh_hi,1,hi,378.0,549.0,5.0,5.0,0.0,79.31090352
1veh_hi,1,hi,393.0,437.0,5.0,5.0,0.0,219.3764624
1veh_hi,1,hi,397.0,321.0,5.0,4.0,0.0,268.3859288
1veh_hi,1,hi,397.0,442.0,5.0,5.0,0.0,1073.5437152
1veh_hi,1,hi,397.0,1033.0,5.0,13.0,0.0,14.865231000000001
1veh_hi,1,hi,398.0,230.0,5.0,4.0,0.0,380.9232176
1veh_hi,1,hi,398.0,1213.0,5.0,12.0,0.0,761.8464352
1veh_hi,1,hi,400.0,230.0,5.0,4.0,0.0,380.9232176
1veh_hi,1,hi,400.0,396.0,5.0,5.0,0.0,621.7670352
1veh_hi,1,hi,400.0,405.0,5.0,4.0,0.0,324.7575456
1veh_hi,1,hi,400.0,411.0,5.0,5.0,0.0,100.97082
1veh_hi,1,hi,401.0,387.0,5.0,5.0,0.0,68.20284536
1veh_hi,1,hi,401.0,411.0,5.0,5.0,0.0,68.20284536
1veh_hi,1,hi,401.0,437.0,5.0,5.0,0.0,73.9595368
1veh_hi,1,hi,401.0,701.0,5.0,8.0,102.9345567,0.0
1veh_hi,1,hi,404.0,437.0,5.0,5.0,0.0,215.9328872
1veh_hi,1,hi,404.0,442.0,5.0,5.0,0.0,410.3582608
1veh_hi,1,hi,404.0,966.0,5.0,12.0,0.0,215.9328872
1veh_hi,1,hi,416.0,405.0,5.0,4.0,0.0,189.432584
1veh_hi,1,hi,421.0,629.0,5.0,8.0,121.7718953,0.0
1veh_hi,1,hi,432.0,367.0,5.0,5.0,0.0,4.175387667
1veh_hi,1,hi,432.0,368.0,5.0,5.0,0.0,8.350775334
1veh_hi,1,hi,432.0,629.0,5.0,8.0,0.0,64.08851088
1veh_hi,1,hi,432.0,1147.0,5.0,13.0,0.0,8.350775334
1veh_hi,1,hi,436.0,564.0,5.0,5.0,0.0,0.0
1veh_hi,1,hi,436.0,703.0,5.0,8.0,0.0,149.5507115
1veh_hi,1,hi,436.0,1826.0,5.0,17.0,0.0,139.09188801
1veh_hi,1,hi,443.0,979.0,5.0,12.0,358.7126148,0.0
1veh_hi,1,hi,448.0,374.0,4.0,5.0,0.0,571.14978
1veh_hi,1,hi,448.0,1035.0,4.0,13.0,0.0,571.14978
1veh_hi,1,hi,455.0,570.0,5.0,5.0,0.0,33.89708
1veh_hi,1,hi,455.0,2117.0,5.0,16.0,0.0,16.94854
1veh_hi,1,hi,458.0,384.0,4.0,4.0,0.0,646.9201168
1veh_hi,1,hi,459.0,408.0,4.0,4.0,0.0,142.28742668
1veh_hi,1,hi,459.0,518.0,4.0,4.0,0.0,35.57185667
1veh_hi,1,hi,459.0,2748.0,4.0,20.0,0.0,35.57185667
1veh_hi,1,hi,465.0,375.0,4.0,5.0,405.3035948,0.0
1veh_hi,1,hi,465.0,422.0,4.0,4.0,0.0,469.316825
1veh_hi,1,hi,500.0,537.0,4.0,5.0,88.05011198,0.0
1veh_hi,1,hi,508.0,489.0,4.0,4.0,0.0,75.54313333
1veh_hi,1,hi,508.0,538.0,4.0,5.0,0.0,75.54313333
1veh_hi,1,hi,511.0,1139.0,4.0,13.0,0.0,20.18451534
1veh_hi,1,hi,512.0,704.0,4.0,8.0,0.0,44.52674334
1veh_hi,1,hi,512.0,958.0,4.0,11.0,0.0,133.58023002000002
1veh_hi,1,hi,516.0,504.0,4.0,4.0,0.0,87.97943334
1veh_hi,1,hi,516.0,506.0,4.0,4.0,0.0,0.0
1veh_hi,1,hi,516.0,515.0,4.0,4.0,0.0,43.98971667
1veh_hi,1,hi,516.0,3112.0,4.0,22.0,0.0,43.98971667
1veh_hi,1,hi,517.0,739.0,4.0,8.0,0.0,505.3107456
1veh_hi,1,hi,520.0,165.0,4.0,4.0,88.28736661,0.0
1veh_hi,1,hi,524.0,231.0,4.0,4.0,0.0,289.48784
1veh_hi,1,hi,533.0,319.0,5.0,4.0,0.0,3427.9888768
